firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Willis-Towers-Watson,44139, Senior Valuation Analyst,"Current Employee, more than 5 years",,4,4.0,4.0,4.0,3.0,3.0,4.0,o,v,v,Good Place to Learn,"Good team, growing business, good leadership","Career framework not very clear, unclear progression. Do not provide estimates of what progression looks like in terms of remuneration/Taboo"
EY,40800, Preparer,Current Employee,Bangalore,1,1.0,,,2.0,1.0,1.0,x,r,o,ill treatment,best reason is brand value that's it,"they say 6 months training and get work done a lot by paying very less.
if you are in training period than every day you have to go and literally beg for the day's work with all your senior's. self respect is the cost of training.
they call you at 6p.m and say you cant leave office there is some work came up now so finish it and go.
if you don't have personal life this is the place to work
employees are very badly treated. in training seniors torches you than not teaching you. you are all alone no one will help with your work,
work is not at all organized. your college may be free without any work, but still you will have lots of work to be done. 
there is no one who allots you the job.
crazy thing is some day from morning there will be nothing to do. in evening at 5.50 they will send a mail that there is some work and have to be done immediately so you will leave office around 9 or 10p.m. if lucky
if you work for 20 hours also you wont get any benefit than impressing your Councilor it wont even help for your promotions"
PwC,43993, Audit,Current Employee,,5,3.0,5.0,,5.0,4.0,4.0,o,o,o,overall good,Talented people in your department,long hours of work which is annoying
Department-for-Work-And-Pensions,44276, Work Coach,Current Employee,"Bolton, England, England",5,,,,,,,o,o,o,Great,Great flexibility in terms of working hours,Nothing obvious to suggest here
IBM,43882, Anonymous Employee,"Former Employee, more than 10 years",,1,1.0,2.0,,1.0,1.0,1.0,x,v,r,Worse place to work,Big brand carrying from the past -heritage,"No value for long term , no employees gain"
McDonald-s,42689, ,Former Employee,,5,,,,,,,o,o,o,Enjoyed it,Flexible working was pretty good,Only short term placement so not there for long
NHS,43491, Pharmacist,"Current Employee, less than 1 year","Coventry, England, England",3,3.0,3.0,,4.0,4.0,2.0,x,x,x,NHS,"Good pension, guaranteed lunch hour","Understaffed, management won't implement changes, too many committees"
Pearson,42566, Correction Coordinator,Current Employee,Noida,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Its a very good company and good place to learn,"no work pressure at all,friendly environment","layoff happened every year,as in 2015 40% staff got out."
Deloitte,43378, Anonymous Employee,"Former Employee, more than 3 years",,3,2.0,4.0,,2.0,4.0,3.0,v,v,r,Lead Experienced Recruiter,"-Great people and a wonderful place to build relationships that will last you a lifetime. 
- I leaned a lot!","-Overworked but I think this is mostly because they were understaffed. 
-Limited room for growth
- Leadership does not give you the Recruting tools you need to be successful. As a recruiter if you want LinkedIn Recruiter you need to buy in yourself. 
- The role is very administrative, sometimes I felt more like a glorified admin than a recruiter."
SAP,44321, Anonymous Employee,Current Employee,,5,5.0,5.0,5.0,5.0,5.0,4.0,v,v,v,Amazing,"Great its great, totally great",no complaints filling this out because glassdoor made me
Blue-Yonder,44121, Associate Manager,Current Employee,,5,,,,,,,o,o,o,Best Place to Work,I have been working at Blue Yonder full-time for more than 9 years,Nothing much to be mentioned
J-P-Morgan,44051, Vice President,"Former Employee, more than 10 years","Miami, FL",3,1.0,2.0,,3.0,3.0,1.0,x,r,v,Thankless overworked,They know their products. Learn a lot,Overworked. Not appreciated as a human. Only a number
Tesco,42616, ,Former Employee,,4,4.0,2.0,,3.0,5.0,3.0,x,v,v,Personal Shopper review,"Good pay for the level of the job, friendly staff that are very supportive, flexible hours, willing to let you do as much over time as you want.","Work quickly got boring, managers were not particularly approachable, they were only concerned about maximizing store efficiency through quicker pick rates"
ASDA,42243, Anonymous Employee,Current Employee,,3,3.0,4.0,,3.0,3.0,3.0,v,r,r,Great student job/part time work,"Discount is available, pleasant atmosphere, always something to be getting on with, pay is reasonable.","Shifts can be unsuitable eg. 10oclock finishes, pay could be increased."
Vodafone,42909, ,"Former Employee, less than 1 year",Milan,4,4.0,4.0,,4.0,3.0,3.0,v,o,v,Great company to work for!!!,"- Dynamic and innovative environment
- Easy-going and smart people
- Strong culture of team collaboration
- There is always something new to do every day
- Good career prospects
- Great work/life balance","- Sometimes product and promotions lunch are not so organized
- Not so simple to have international opportunitities"
University-of-Michigan,44286, PhD Student,Current Employee,"Ann Arbor, MI",5,,,,,,,o,o,o,Great,They have good student insurance,I work very long hours
Apple,42921, Senior Associate ,"Former Employee, more than 5 years","Cupertino, CA",5,1.0,5.0,,3.0,4.0,3.0,v,v,v,Great Company!,"Great experiences. Pushes you out of your comfort zone. teaches you how to talk to customers, coworkers, and people.","some management is very poor, and the area managers do no help"
PwC,43160, Audit Associate,Former Employee,,3,2.0,5.0,,5.0,2.0,1.0,v,x,x,Be genuine,Isla Lipana might be the best firm among the big 4 audit firms. Opportunities are varied and anyone can be given the chance to level up.,"Isla Lipana is known for its profit sharing scheme. But that scheme has a lot to sacrifice. They cut cost and I heard that they are currently deceiving applicants as to the available positions they are offering and the worst part is the applicants' resumes are being given to a certain entity different from Isla Lipana saying that the two entities are the same but actually not.

Another drawback of Isla Lipana is the not so reliable services of its Human Resource and Finance.  It will take months to process something at times."
Vodafone,41869, Sales Adviser,"Current Employee, more than 3 years","Stoke-on-Trent, England, England",2,1.0,1.0,,3.0,3.0,1.0,x,x,x,Great people but poor upper management - Not for someone who takes pride in their work or wants to be valued.,"Good benefits, free coffee machines, good working space, and lots of break time in a 9 hour day.","Very poor work-life balance, targets in place encourage ropey behaviour, company values are not represented by the upper management and a lot of staff off sick with stress. 

Absence policy is designed to exclude anyone with kids, chronic illness, or any family issues that need attention. 

Recently, Vodafone have changed the base pay for new hires in the sales department to £17,000 but have kept the current employees at lower rates with the excuse that OTE is lower for the new hires. This would be ok if they had not created an unrealistic target structure designed to not have to pay commission.  

Managers encourage you to schedule call backs during your breaks and outside of working hours. It is next to impossible for most people to hit targets without having to sacrifice their time off. If you don't hit your targets you are giving your time away for free.

They use a quote from Einstein all the time.... ""The definition of insanity is doing the same thing over and over and expecting a different result."" This is mentioned in the spirit of trying something new to get better sales results. After years of indoctrination I am finally realising that I am insane because I have not changed jobs. I now see this is the only way I will find better results."
Oracle,44210, IT Principal Consultant,"Current Employee, more than 3 years","Reading, England, England",4,,,,,,,o,o,o,Could you please record the session so I will catch up the first half.,"Flexible benefit package, remote working","Below average pay, no increment once joined"
Pizza-Hut,41565, Delivery Driver,"Current Employee, less than 1 year","Holly Hill, FL",2,3.0,3.0,,2.0,1.0,3.0,x,r,v,"Very low pay scale,unfair pay for delivery drivers","Not many,good food terrible insentives",Pay scale is too low for the amount of work required from employees
SAP,44253, Sales,"Current Employee, more than 1 year",Dubai,4,3.0,5.0,5.0,5.0,5.0,4.0,v,v,v,"Great people and tech, WLB can be hard",People are all genuinely nice and helpful. We're selling great products. Profile is rising in the UAE. Ability to move around. Very good compensation package. They seem to be handling COVID the best they can.,"Work life balance can be difficult--need to ruthlessly prioritize your time to avoid drowning. Lots of last minute meetings and requests. Internal processes seem immature compared to many other companies. Many of the company's processes and incentives (such as regarding how pipeline is tracked) are totally broken and do not support real business needs. Organization is fairly flat, which is often good but means you often have ""rule by committee"" where everyone wants to have a say but ultimate accountability can be unclear. Environment seems like it can be political the higher up you go."
J-P-Morgan,41655, Sales Associate,"Current Employee, more than 5 years","Addison, IL",2,2.0,2.0,,2.0,2.0,2.0,x,r,x,Sales associate,They have good insurance that's the only reason i have stayed there.,Not the best place to work long  term. it gets boring and repetitive.
British-Airways,42135, Anonymous Employee,Current Employee,,3,5.0,4.0,,3.0,4.0,1.0,x,x,x,Mixed and inconsistent.,"Flexible working conditions, reasonable pay and a good set of employees. Staff travel gives you a good discount and allows the possibility of flying in Club for approximately £70.",Very large management overhead meaning lots of bureaucracy. Current focus is on cutting cost which ruins what could be a promising outlook.
SAP,43354, Customer Engagement Services Manager,"Current Employee, more than 10 years","Boston, MA",5,3.0,5.0,,4.0,5.0,5.0,v,v,v,"Setting the Trends for Tomorrow's businesses, industries and employment.",Great company all-around.  Incredible leadership who are always on top of the future tech/business trends and ability to keep the company competitive.  They are establishing the trends and leading the change our customers and industry need.  SAP keeps setting the course!  Great strategies and seemingly very transparent in the plans to get us there.,Lots of change without assurances of being included and part of it.
Google,41298, Programmer Analyst,"Former Employee, more than 1 year","Mountain View, CA",5,4.0,4.0,,3.0,4.0,3.0,o,o,o,Engineer,"free food, good pay, good people","free food, bad managers, alot of free time"
Morgan-Stanley,43934, VP,"Current Employee, more than 8 years",Tokyo,3,3.0,4.0,,3.0,3.0,3.0,v,v,v,Good culture,"Open culture, Friendly and very diverse place.","Less growth, Incompetent Managers and not competitive pay."
PwC,42321, Anonymous Employee,"Former Employee, more than 1 year",,1,1.0,1.0,,4.0,2.0,1.0,x,x,x,Poor employer,Good hard working staff at lower levels within the company. For some reason the PwC 'looks good' on CV. Opportunity to work at big name banks.,Little real life training. Spend lots of time doing PowerPoint presentations and reports NOT thinking / creating / problem solving. Very few Partners  are remote - so very hard to learn much. Limited care of staff. Very high incidence of employee stress - as can be seen in media reports. Very limited support in my case. It's a human resources company in the end.
BT,42804, Sales Retention Advisor,"Current Employee, less than 1 year","Newcastle upon Tyne, England, England",2,3.0,2.0,,3.0,4.0,3.0,x,r,r,The Computer Says No,"Bonuses, shift options, great colleagues, free onsite parking, canteen, good atmosphere","In Retentions there's a 12 week 'Rotation' where everyone's stats for the previous 12 weeks are analysed by computer and you may be moved to a different Campaign or into AOT (Advice of Transfer). This is not negotiable and does not take into account your personality or wishes. I have experienced bullying by a manager (to be fair, all the other managers are lovely) which has caused stress and I'm looking to leave because of this."
HSBC-Holdings,43320, V P,"Current Employee, more than 3 years","Fort, Maharashtra, Maharashtra",4,,,,,,,o,o,o,VP,A very employee friendly company,Less understanding of Indian market
Apple,42761, Apple Genius,"Former Employee, more than 5 years","New York, NY",3,5.0,5.0,,1.0,4.0,3.0,v,v,r,Genius Bar,The benefits are absolutely fantastic.,There is zero room for growth.
Premier-Inn,43844, Receptionist,"Current Employee, less than 1 year","Glasgow, Scotland, Scotland",3,5.0,5.0,,5.0,5.0,5.0,v,v,v,Recepcionist Team Member,"Compromise, Quality service, Attention to customers.",Repetitive tasks and difficulties with the shift
Oracle,42535, MTS,Former Employee,"Dublin, Dublin",4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Life at Oracle,"Very healthy environment
Work Life balance",Hike could be an issue for few people
Apple,41489, Anonymous Employee,"Current Employee, more than 3 years",,5,4.0,5.0,,3.0,3.0,4.0,v,v,v,Amazing company,Great place to work best place ever,Well every company has ups and downs
Morgan-Stanley,43887, Financial Advisor,Former Employee,"Chicago, IL",4,,,,,,,o,o,o,Past employee,Name recognition and great incentives.,Weak management with very unbalanced support to old / new employees
University-of-Newcastle-UK,44270, PhD Student,Former Employee,"Newcastle upon Tyne, England, England",4,5.0,5.0,5.0,4.0,4.0,5.0,o,o,o,phd studentship in newcastle university,"friendly working environment, good work life balance","not good enough laboratory equipments, slow administration procedure"
CBRE,42507, ,Current Employee,,3,,,,,,,o,o,o,MR.,Good work environment on campus.,Maintenance Excellence program limits effectiveness.
IBM,43363, Manager,"Current Employee, more than 3 years",Noida,2,2.0,2.0,,2.0,2.0,2.0,o,o,o,Manager,Not good organisation to work,A lot of issues
Microsoft,44041, Software Engineer,Current Employee,"Redmond, WA",3,,,,,,,o,o,o,Depends on the team,"Big company, benefits, ability to switch teams",You could get stuck with a team you don't like
Care-UK,43487, Anonymous Employee,Current Employee,"Colchester, England, England",5,4.0,5.0,,5.0,5.0,4.0,v,v,v,Great development opportunities,"Care UK are a large, professional employer and offer a variety of benefits. There are genuine development and training opportunities, and there's a great ethos and working atmosphere. I've gained invaluable experience from working here.",Workload is challenging. Great for those wanting to keep busy but something to be aware of. I would say a challenge worth taking.
Google,44209, Software Engineer,"Current Employee, more than 1 year","Mountain View, CA",5,5.0,5.0,5.0,5.0,5.0,4.0,v,r,v,Good company,"Lots of perks, learning resources.",Scope of project can be limited.
J-P-Morgan,43745, Business Analyst,"Former Employee, more than 5 years","Columbus, OH",4,4.0,4.0,,5.0,4.0,4.0,v,v,v,Well-run department with clear goals,"Clearly-set goals refreshed every quarter to get the entire organisation feeling vested and involved.
Regular feedback from management as to performance, and management readily accepts feedback from the bottom up.","Clunky tech implementation that can extend deadlines due to separation of power across lines of business, or alternative, less-ideal applications that are favored by the bank as a whole."
Deloitte,44178, Senior Consultant,"Former Employee, more than 3 years","Toronto, ON",1,4.0,3.0,2.0,3.0,2.0,1.0,x,v,r,"If you are from Technology background, Stay very far away.","1) Brand Value
2) Travelling to different places
3) Company helps you to reskill yourself
4) They care for communities.
5) Good to have it on resume.","1) Low salary as compared to market.
2) Deloitte hires you based on your qualifications irrespective of your skillset. If you have done MBA with a reputed college and have good communication skills, you are the right candidate. Technology Skills are secondary.
3) If you are from tech background, this is not the company for you.
4) Managers and senior managers are only presentation stars.
5) Lack of Inclusion and diversity at the top level.
6) You start feeling bias inside the company based on where you come from, how you speak. this is all transparent and yet you feel it.
7) You would see some folks getting promoted within an year and others sitting at the same level for 4-5 years. The only criteria for promotion is if a partner/senior management supports you irrespective of how you perform.
8) Partners think of themselves as gods and are literally unapproachable. 
9) Everyone is stepping on one another to move ahead. politics in each and every project to stay billable. Do not rely on words for feedback, send an email to keep record. Untrustworthy.
10) The true color of management was seen when partners got promoted whereas consultants were laid off due to covid."
Jaguar-Land-Rover,44255, Anonymous Employee,"Current Employee, more than 3 years","Gaydon, England, England",3,5.0,3.0,5.0,2.0,5.0,2.0,v,v,x,Great company if you need work-home balance,Great company for the people that need to have some balance between work and home. Great benefits.,"The problem is in this place that it is not easy to be promoted if you are stuck in one position - its hard to be promoted within this position only for your achievements ... its likely time spent in the company (at least 5years) or applying for internal job works... some people leave and then coming back to get higher position.
Too much hierarchy but stable job if you need so."
SAP,43573, Engineer,Current Employee,,5,3.0,4.0,,4.0,4.0,4.0,o,o,o,Great Company,"Benefits, development opportunities, freedom to explore new business areas or roles",Performance culture that can lead to long hours for those that want to be recognized
Google,44296, Product Manager,Current Employee,,5,5.0,5.0,4.0,4.0,5.0,5.0,v,v,v,Product,Great culture. Value innovation and collaboration,Can we slow at times
University-of-Michigan,43850, Teaching Assistant,"Former Employee, less than 1 year","Ann Arbor, MI",5,5.0,5.0,,5.0,5.0,5.0,v,r,r,Great Working Enviornment,Really enjoyed working as a TA in the Computer Science department. Had great co workers and was able to influence the curriculum and even teach a few lectures as a TA in areas that I was truly passionate about.,None that come to mind.
PwC,42825, Senior Consultant,"Current Employee, less than 1 year","Monterrey, Nuevo León, Nuevo León",4,4.0,4.0,,4.0,4.0,4.0,v,v,v,consultant,Good bennefit package and salaries above the industry,No parking lot and there is a waiting list
Google,42480, Anonymous Employee,Former Employee,,2,3.0,2.0,,2.0,1.0,1.0,o,o,o,Retail Product Specialist,Great products and exciting atmosphere.,Poor field execution and support.
Barclays,44155, Business Analyst,"Former Employee, more than 1 year",,2,1.0,1.0,3.0,3.0,3.0,1.0,x,r,r,Low Technology  More Monopoly,"Company Benefits like cab service , hr events , infrastructure","No growth in technology , Bulling , high pressure"
Microsoft,42311, Senior Software Engineer,"Former Employee, more than 1 year","Bristol, England, England",3,4.0,4.0,,3.0,4.0,3.0,v,x,r,Senior Software Engineer,Good company. Many good perks. Working from home and good team.,Nokia purchase was the worst movement from Microsoft ever. Too political.
Microsoft,43697, Solution Sales Specialist,"Current Employee, more than 8 years",Singapore,5,3.0,5.0,,5.0,4.0,5.0,v,v,v,Fast paced environment with many career opportunities,"If you love working in teams in a highly dynamic environment with fast evolving technology, this is an amazing place! With the size of the business, it also brings many career opportunities with colleagues from all over the world. Been here for 8 years and will hang on until they kick me out! Although not easy everyday with the speed of change and the amount of work, I'm having the fun of a lifetime.","The organization is a matrix with multiple stakeholders to manage, if you're an individualist more than a team player, not the place to be. Navigating it to get things done is complex, if you can't deal with internal complexity and sometimes chaos, not the place to be. If you are not comfortable with ambiguity and with change, neither a place to be."
Doubletree-By-Hilton,42714, Chef De Partie,Current Employee,Dubai,4,4.0,4.0,,5.0,3.0,3.0,v,v,v,Chef de partie,Double tree by hilton is world wide 5 star hotel  .,Less befit for non lebel managment
Tesco,43738, Dotcom Team Support,"Current Employee, more than 5 years",,5,4.0,5.0,,5.0,4.0,5.0,v,v,v,Great company to work for,Great opportunities and great atmosphere,No downsides as of yet
The-British-Army,43702, REME Captain,"Former Employee, more than 8 years","Manchester, England, England",5,3.0,4.0,,5.0,4.0,4.0,v,v,v,"Meritocratic, Fast Paced, Bags of opportunity","So many opportunities, excellent training. Land or aviation pathways available. Travel, variety, opportunities to move sideways to language, SF etc. Fantastic Professional development opportunity and clear route to CEng","British Army Captains pay is enough for life’s needs, you can save if you focus however engineers can earn much higher salaries outside. That said the full package and pension must be considered."
Microsoft,43340, Anonymous Employee,Current Employee,,2,3.0,1.0,,1.0,4.0,1.0,x,r,o,Politics,Wfh culture. Benefits and health insurance,"Politics
Terrible review system
Politics who you know is more important than what."
Hilton,43807, Guest Services Agent,"Former Employee, more than 1 year",Pune,5,3.0,5.0,,5.0,5.0,4.0,v,v,v,Perfect stepping stone into hospitality,"Work environment, team building, potential oriented",None experienced during entire tenure
University-of-Nottingham,44237, Postdoctoral Researcher,Former Employee,"Nottingham, England, England",4,,,,,,,o,o,o,It's OK,Good work and life balance,Not internal cooperation (people and departments)
Microsoft,39856, Operations Engineer,Former Employee,"Redmond, WA",4,4.0,,,3.0,4.0,3.0,v,r,o,Microsoft treading in dangerous waters.,"The Benefits are outstanding, the pay is competitive, and the prestige behind the company name opens a lot of doors.  It's a very exciting place to work, if you're on the right team, because of the unique mix of cutting edge hardware and software.","They tend not to value anyone not producing code or selling it.  They need to understand how important it is to have a foundation underneath to produce and test their code.  They seem content to just outsource these positions, not knowing how much guidance these developers and testers need to manage their space effectively."
CBRE,43608, Anonymous Employee,Former Employee,,4,4.0,4.0,,3.0,3.0,3.0,v,v,r,Finance Analyst,"Work life balance, flexible working environment",Lack of transparency in career progression
Hyatt,42537, Anonymous Employee,Former Employee,,4,4.0,5.0,,5.0,4.0,3.0,v,r,v,Great path for a career in hospitality,Good benefits and very friendly staff. Willing to take your personal life obligations into account. Hyatt is always striving to improve and senior management is always willing to listen to input.,"For non-management/executive positions fairly low pay. When things get busy (and they always do) there's usually not enough trained staff scheduled so often need support from other departments. Kudos to them, though, for stepping up and helping out! Not knowing your schedule until even two days prior was always a hassle."
J-P-Morgan,43189, Data Engineer,"Former Employee, more than 1 year",Bangalore,2,1.0,2.0,,3.0,3.0,2.0,x,r,r,JPmorgan -Data team is  having bunch of boot lickers and service based mentality,"-Lot of people around you are good in terms of domain
-Good salary and other benefits
-Good for people who wants to grow in finace domain","-Management will force yto stay for 10hr even ifyou  complete your work in 2 hour.
-Bunch of boot lickers who spend 12 hrs in ofc to get some bonus amount.
-It is dfficult to learn other thing as learning new thechnology along with your work is crime in JPMC"
Grant-Thornton,43997, Audit Associate,"Former Employee, less than 1 year","Portland, OR",4,,,,,,,o,o,o,Audit Associate,Employment work hours are good,employment work life balance is bad
McDonald-s,44124, Manager,"Former Employee, more than 1 year","Dunfermline, Scotland, Scotland",5,,,,,,,v,v,v,Yo,Awesome company to get you and to help people,And how will I be with the kids
EY,43887, Senior Associate,"Current Employee, less than 1 year",,4,4.0,4.0,,4.0,5.0,4.0,v,o,o,Tax,Good salary and reasonable workload,Difficult working culture and flexible working hours
HSBC-Holdings,42770, Customer Service Officer,"Former Employee, more than 1 year","Gurgaon, Haryana, Haryana",3,3.0,1.0,,1.0,2.0,1.0,x,o,x,Poor retail banking at HSBC,"Benefits are ok
but nothing else is really offered, not even a job promotion..","Retail Banking - very hostile environment if your manager doesnt like you! And many overtime hours without compensation, even if it says in the contract you must be compensated, when you ask for it you are threatened to be dismissed. And the pay in retail is really bad!
Progression impossible when you start working in retail site of HSBC - if you too good they will want to keep you in the same position for as long as possible so you generate good number for the managers who take all the credit, if you bad they will get rid of you, so neither way you can win."
Deutsche-Bank,43804, Vice President,Current Employee,,3,5.0,4.0,,3.0,2.0,3.0,o,o,o,Good work balance but too many layers in structure,"Work life balance
Culture
Benefit
Pension
Big Name
Learning opportunity","Salary 
Promotion
Gender diversity
Moving up Opportunities
Hierarchy"
Department-for-Work-And-Pensions,43299, HEO,"Current Employee, more than 10 years","Swansea, Wales, Wales",4,3.0,4.0,,4.0,4.0,4.0,v,r,v,DWP,"Challenging, opportunities for progression, variety of roles.",Recruitment process can be long winded
DPDgroup,42617, Depot Operations Administrator,"Former Employee, more than 3 years","Swansea, Wales, Wales",2,4.0,2.0,,2.0,2.0,1.0,x,x,x,some good people shame about the company,Most of the people that work within the company are great the only down fall is the company policies and procedures an absolute shambles,Too many rules and regulations
McDonald-s,42781, Anonymous Employee,Former Employee,,4,,,,,,,o,o,o,Fast-paced but efficient,Excellent place to hone customer service skills,Can be a bit fast-paced and management does not assist in simplifying the stress
Ryan-LLC,44246, Senior Analyst,"Current Employee, more than 1 year",,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great Employer,"Great company culture
Fantastic work life balance
Great team culture.
honest feedback",I really enjoy working with the company and don't find any issues with Ryan.
Oracle,44096, BI Architect,"Current Employee, more than 5 years",,4,3.0,3.0,,2.0,3.0,3.0,v,x,r,A multi,"All the things that comes with an international company. Acceptable salary, home office if you are lucky. Possibility to learn if you have time (you don't).",All the things that comes with an international company. Technology locked.
Vodafone,43570, Channel Strategy Manager,"Current Employee, more than 8 years",Milan,4,3.0,3.0,,3.0,3.0,4.0,v,v,r,"Competitive and tough, demanding but very exciting",Cross functional esperience in the commercial department is very interesting and worthed,It's not easy and lean going abroad withing the company
Boston-Consulting-Group,42841, Consultant,"Former Employee, more than 3 years","Detroit, MI",5,5.0,5.0,,5.0,5.0,5.0,v,x,v,Consultant,Great flexibility and top notch talent,Highly recognized brand and strong international network
J-P-Morgan,42013, Analyst,Former Employee,"New York, NY",4,2.0,4.0,,3.0,3.0,3.0,v,o,v,About J.P. Morgan Analyst,Good exposure to business and markets,Very heirarchial and tenure based growth
IBM,41307, IT Specialist,"Current Employee, more than 5 years",Madrid,5,2.0,5.0,,5.0,3.0,3.0,v,v,r,"In my profession, what else but IBM?","Big oversights, opportunities, people, languages, travel, redeployment, consideration, learning contents, acquisitions, maturity, big deals, mega deals, bonus, mega bonus, what else?",Flexibility == chaos; travel == disorder; internal procedures == slow motion; big deals == conflicting interests; family == no promotion; conducting rules == ethics in theory... A nightmare!
Goldman-Sachs,44242, Investment Analyst,"Former Employee, less than 1 year","New York, NY",1,,,,,,,x,x,x,Investment analyst,"Very professional, learn a lot on the job",Corporate ladder and BS with high stress
PwC,42914, Anonymous Employee,"Current Employee, more than 8 years",,5,5.0,4.0,,5.0,4.0,5.0,v,v,v,Director Assurance,"Client range, international, forward thinking","External Regulation, time on internal admin"
J-P-Morgan,44331, Associate,"Former Employee, more than 5 years",Mumbai,4,4.0,5.0,5.0,4.0,2.0,4.0,o,o,o,Overall good experience!,"Work culture, senior management, quality work and some good training for the employees",Lower pay and unfair pay for some employees who are being paid lower then the lower grade employees.
Microsoft,42060, Program Manager II,"Former Employee, more than 3 years","Redmond, WA",4,4.0,4.0,,4.0,4.0,3.0,v,v,v,Great career development opportunity.,"Microsoft provides a good opportunity for a balanced lifestyle. The maturity of the company allows employees to work hard while also permitting time with family, friends, and for personal development. The benefits are great.","Microsoft is working hard to adapt to adapt to the changing development cycle for technology and software. However, they still lag behind competitors in terms of flexibility and willingness to experiment. It can be draining."
Goldman-Sachs,42833, ,Current Employee,,3,4.0,3.0,,4.0,2.0,2.0,v,v,r,Experience,Good Experience at a Goldman subsiadiary,Pay is way too low comparatively to other firms
Tesco,43606, Check Outs,Former Employee,,2,,,,,,,o,o,o,They rarely keep anyone on,Minimum wage to under 18’s,Rude managers Cliquey staff Rude customers
NHS,43694, Fundraiser,"Current Employee, more than 1 year","Glasgow, Scotland, Scotland",5,5.0,5.0,,5.0,4.0,4.0,v,o,v,Fundraising Hub,Great experience meeting lots of new people and working on interesting projects,Not easy to change shifts
BBC,44216, Sandwich Artist,Current Employee,,5,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Great but slow pace of work,No real issues at all,Nothing comes to mind on cons
McKinsey-and-Company,43241, Anonymous Employee,Current Employee,,4,,,,,,,o,o,o,"Fast moving, hardworking environment","-you work with smart people
-you learn a lot
-great opportunity to grow and develop new skills","-travel schedule
-unpredictable hours and or long hours"
Apple,42108, ,Current Employee,,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,"Great people, great company","Awesome co workers, cutting edge technology, relaxed work environment, feel like you are actually appreciated.","While there are long hours, and you have difficult customers as you do with any job, it it still bearable to get through."
Oracle,44340, Senior DevOps Engineer,Current Employee,,4,5.0,4.0,3.0,1.0,3.0,5.0,v,v,r,Working with Oracle as a fulltime employee.,very nice place to work.,No cons nice product based company
Citi,44263, Anonymous Employee,"Current Employee, more than 1 year",,3,3.0,3.0,3.0,3.0,3.0,3.0,o,o,o,Good  company to work with,"Good to work,good environment,work life balance is challenging",Nothing which i can think as of now
Deloitte,44122, Senior Manager,Former Employee,"Toronto, ON",5,1.0,2.0,2.0,3.0,1.0,2.0,x,o,v,Great Company,Amazing Intellectual Capital of the company,Long Hours with no weekends or holidays
Dixons-Carphone,43843, General Manager,"Current Employee, more than 3 years","Birmingham, England, England",3,2.0,3.0,,3.0,4.0,4.0,x,v,r,Potential for great pay,"Share scheme 
High earning potential 
Numerous manufacturers social events","Long hours 
Tight hours budget 
High staff turnaround"
Harrods,43230, ,Former Employee,,4,3.0,3.0,,3.0,3.0,3.0,v,r,r,Good,It was good and friendly,Very busy during Christmas time
Deloitte,42031, Anonymous Employee,"Former Employee, more than 1 year",,3,2.0,3.0,,5.0,4.0,3.0,v,o,r,Audit Deloitte Belgium,"Great atmosphere, career opportunity, fringe benefits (company car, Iphone)","Work/life balance, performance review is subjective, internal movement difficult"
J-P-Morgan,42317, Home Ownership Collector II,"Former Employee, more than 1 year","Tampa, FL",5,3.0,5.0,,5.0,5.0,5.0,v,v,r,Collector II,"Amazing benefits, awesome short term disability and maternity leave. Bonus structure is excellent. Chase still finds ways to surprise me with their excellence even though I haven't worked for the company in about 2 years.",I was subjected to a company wide layoff.
Citi,44153, Compliance Officer,Former Employee,,2,1.0,1.0,1.0,2.0,2.0,1.0,o,o,o,Working in Citi,Flexible working hours and High paying salary,Work culture and no work-life balance
Citi,42209, Anonymous Employee,Former Employee,,5,3.0,5.0,,5.0,3.0,4.0,o,o,o,Program Manager,"The best place to learn, very dynamic and warm atmosphere.",It is not a place when you search for pay check in Indonesia
HSBC-Holdings,39816, IT Project Manager,Current Employee,,4,3.0,,,4.0,2.0,3.0,v,v,o,,"international context, career, trainings, Group links","communication, feedbacks, performance management, recognition"
J-Sainsbury,43535, Food Customer and Trading Manager,"Former Employee, more than 10 years","Southampton, England, England",2,,3.0,,,2.0,,x,x,x,Food Customer and Trading Manager,Half decent benefits I suppose.,"No opportunity for progression. No labour so you end
Up spending 90% of your time filling up shelves while senior management sit in the office all day."
SAP,42235, Software Developer Intern,Former Employee,"Dublin, Dublin",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great!,"Great experience, would recommend to anyone. Great that they offer the opportunity.",A lot of overtime at weekends before deadline day.
Barclays,43726, Anonymous Employee,Former Employee,,3,,,,,,,o,o,o,Analyst,Ok to work and grow,Need to expand much more
J-P-Morgan,42900, Anonymous Employee,"Former Employee, more than 5 years","Columbus, OH",4,4.0,4.0,,,4.0,,v,v,v,Customers,"Employees, benefits, location, backup childcare","Supervisor favoritism, not giving employees a raise  for over 5 years"
McDonald-s,42387, Anonymous Employee,Former Employee,,3,,,,,,,o,o,o,Cashier,"Positive Environment, flexible hours, room for promotions","High employee turnover rate, challenging"
